,name,image_path
254,Claudia Cardinale,/tV3oboOm0Iix0AEtQKGPnPE2hbF.jpg
255,Quentin Tarantino,/6grjDWpEIPL5QdRbUZFxVEp5TCd.jpg
256,Mia Kirshner,/pgQw5mlHRwWKBwLMdMj2jqiwK5D.jpg
257,Alice Eve,/G3YOQbFMnPGBO5LrN3WJTs2kJf.jpg
258,Dougray Scott,/jzHFzUH097772iacix0F4XSIZz4.jpg
259,Taron Egerton,/bVsLVoO3BGoHRLjWoM4Gjav2hNb.jpg
260,Tyrese Gibson,/2eQsxfTHsARKXOtPu3W4c2n5RzQ.jpg
261,Solène Rigot,/axjHYWo91vYoGE39YqPVfRhSbr5.jpg
262,Luke Evans,/1d31uDYub8TaLOPWfgX78OotduD.jpg
263,Rebecca Hall,/pDY00JdSgDxXxMsBOJcShJjDVxl.jpg
264,Viggo Mortensen,/bsW2qXbMCc6mo8eGj5Lpi7GrC7N.jpg
265,Izabella Miko,/y17WPWE0tOFroVttwayzU3Q2Mxb.jpg
266,J. Pat O'Malley,/if8jAnsuARxFUy3k7PhaFqzHd9N.jpg
267,Emily Watson,/jyIC8axLoCrbQoKGGjGFRU7hfNI.jpg
268,Sam Worthington,/9XzAE3ZnCnazub4xrSY8YBN7sNq.jpg
269,Naomi Watts,/8W02WOJI1pEGh2iqQsgITR5tV0P.jpg
270,Rene Russo,/aaPzuXRHdyxamPMXqu70okPaqvB.jpg
271,Ice Cube,/dzdn1tyWkC4EjlBVKvpAhg5osYA.jpg
272,Uma Thurman,/1syarPILK8IIFvBHhlK8pdBZ2bz.jpg
273,Kaya Scodelario,/s3ujVl6I2jyr5tZjvNxvpKm3o7S.jpg
274,David O'Hara,/sJ35AHaSTzSrvd80xrlC1CD30iF.jpg
275,Jan Sterling,/kbDFYUzTVZddegCczn0BljjpWb7.jpg
276,Glenn Thomas Jacobs,/jMUbn5h9ET6E8QqJI63NDlqM650.jpg
277,Dakota Blue Richards,/23pGkpzWHG07ExWDHKMGs6Es5Fv.jpg
278,William Shatner,/5hWNPFmnzlFAkGMleBKkeFFcxhY.jpg
279,Will Ferrell,/dGxt3uGPlUJKIfHYiLasnEgR90e.jpg
280,Nora Miao,/AsLdf8DkE7T5DlPNHk5LyzUrIsz.jpg
281,Emmanuelle Chriqui,/d2PyTKZyt5Ndk9am6PJ8u6jRdjH.jpg
282,Seth Rogen,/3U9s4dvXQuk1l3ZT3MqwqpmeRqI.jpg
283,John Leguizamo,/wlcCiSjmcXHJCG7WATmbwYIRnmX.jpg
284,Ioan Gruffudd,/iGJI8szrwaRBd484sGO8OOm1HOH.jpg
